@relation petsc_anamod_aciss_30_60NoNoise

@attribute avg-diag-dist numeric
@attribute nnz numeric
@attribute norm1 numeric
@attribute col-variability numeric
@attribute min-nnzeros-per-row numeric
@attribute row-variability numeric
@attribute kappa numeric
@attribute ' time' numeric
@attribute ' solver' numeric
@attribute ' class' {good,fair,bad}

@data
2.5,30,188496,2.516551,1,2.516551,20644650,0.000005,45869639,good
2.5,30,188496,2.516551,1,2.516551,20644650,0.000039,59072883,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.000009,32168839,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.000012,11256941,fair
2.5,30,188496,2.516551,1,2.516551,20644650,1.79769313486E308,90783920,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.0388,29030070,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.000009,7285382,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.000017,36564232,fair
2.5,30,188496,2.516551,1,2.516551,20644650,1.79769313486E308,81986705,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.000014,69654763,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.000039,19932321,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.000048,32874610,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.000009,36025721,fair
2.5,30,188496,2.516551,1,2.516551,20644650,0.036689,37052868,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.000005,45869639,good
2.5,30,18849600,2.20412,1,2.20412,20649340,0.000008,32168839,bad
2.5,30,18849600,2.20412,1,2.20412,20649340,0.000008,32168837,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,1.79769313486E308,90783920,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.037804,29030070,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.000008,7285382,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.000019,36564232,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,1.79769313486E308,81986705,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.000013,69654763,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.000016,19932321,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.000009,36025721,fair
2.5,30,18849600,2.20412,1,2.20412,20649340,0.035708,37052868,fair
2.5,30,0.000137,11.48514,1,11.48514,8918971,0.000009,32168837,good
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.000005,45869639,good
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.000009,32168839,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,1.79769313486E308,90783920,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.038414,29030070,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.000009,7285382,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.000017,36564232,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,1.79769313486E308,81986705,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.000012,69654763,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.000017,19932321,fair
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.000008,36025721,bad
1.5,50,2581.412,2.556304,1,2.556304,48893.24,0.03565,37052868,fair
1.5,50,0.000061,10.20965,1,10.20965,630091.3,0.000016,32168837,good
1.5,50,258140.7,2.556303,1,2.556303,48930.94,0.000008,32168837,good
0,66,0.172829,1.7045,1,1.7045,8.75217,0.000009,32168837,good
5.166667,83,71,1.826075,1,1.851258,23.66667,0.000009,32168837,good
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.000005,45869639,good
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.000018,32168839,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.00001,32168837,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.79769313486E308,90783920,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.039596,29030070,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.000009,7285382,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.000021,36564232,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,1.79769313486E308,81986705,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.000013,69654763,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.000016,19932321,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.000011,36025721,fair
10.61538,153,4740747,1.505149,1,1.505149,8.038352,0.039461,37052868,fair
21.77778,177,7.322883,3.41127,1,3.324908,3.26702,0.000009,32168837,good
21.77778,177,8.688191,2.06492,1,1.985202,2.849053,0.00001,32168837,good
5.272727,180,43727340,6.243467,4,4.554483,1339820,0.000037,32168837,good
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,0.000011,32168839,bad
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,0.000019,29030070,fair
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,0.000011,36564232,bad
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,1.79769313486E308,81986705,fair
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,0.000007,69654763,good
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,0.000007,19932321,good
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,0.000008,36025721,good
14.69444,198,25210.9,8.0172,2,4.819544,87.32143,0.000011,37052868,bad
21.625,202,0.000175,6.195346,1,6.195346,8.819523,0.00001,32168837,good
32.90566,210,13,0.845098,1,0.845098,32656.96,0.000011,32168837,good
18.48,224,3009444000,3.753629,1,4.262814,40611.09,0.00001,32168837,good
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000028,45869639,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000026,32168839,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000027,32168837,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,1.79769313486E308,90783920,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000148,29030070,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000019,7285382,good
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000055,36564232,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,1.79769313486E308,81986705,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000025,69654763,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000031,19932321,fair
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000015,36025721,good
10.07895,233,1,1.522719,3,1.522719,12.60624,0.000082,37052868,fair
45.75,315,14,0,3,0,8.6E15,0.000011,32168839,fair
45.75,315,14,0,3,0,8.6E15,0.000012,29030070,fair
45.75,315,14,0,3,0,8.6E15,0.000012,36564232,fair
45.75,315,14,0,3,0,8.6E15,1.79769313486E308,81986705,fair
45.75,315,14,0,3,0,8.6E15,0.000039,19932321,fair
45.75,315,14,0,3,0,8.6E15,0.000011,36025721,fair
45.75,315,14,0,3,0,8.6E15,0.000006,37052868,good
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,0.000021,32168839,fair
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,0.000012,29030070,fair
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,0.00002,36564232,fair
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,1.79769313486E308,81986705,fair
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,0.000009,69654763,bad
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,0.000008,19932321,good
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,0.000009,36025721,good
39.8125,321,79.72397,21.47059,2,21.47061,62.50465,0.000007,37052868,good
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,0.000021,32168839,fair
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,0.00002,29030070,fair
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,0.000022,36564232,fair
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,1.79769313486E308,81986705,fair
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,0.000009,69654763,good
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,0.00001,19932321,bad
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,0.000007,36025721,good
39.8125,321,25210.93,20.63033,2,22.1075,20.96411,0.000011,37052868,bad
7.3,347,0.743108,1.747425,1,1.747425,4.558467,0.000011,32168837,good
