lambda-max-by-magnitude-im,right-bandwidth,avgdistfromdiag,symmetry,n-dummy-rows,blocksize,max-nnzeros-per-row,diag-definite,avgnnzprow,lambda-max-by-magnitude-re,ellipse-cy,nnzup,ruhe75-bound,avg-diag-dist,nnz,lambda-min-by-magnitude-re,lambda-max-by-im-part-im,left-bandwidth,norm1,sigma-min,upband,n-struct-unsymm,lambda-min-by-magnitude-im,diagonal-average,diagonal-dominance,dummy-rows,ritz-values-r,symmetry-snorm,symmetry-fanorm,symmetry-fsnorm,colours,lambda-max-by-im-part-re,col-variability,trace-abs,ritz-values-c,nnzeros,diag-zerostart,loband,positive-fraction,trace,min-nnzeros-per-row,diagonal-sign,row-variability,nrows,lambda-max-by-real-part-im,colour-offsets,n-colours,relsymm,diagonal-variance,departure,nnzlow,n-nonzero-diags,sigma-max,dummy-rows-kind,kappa,n-ritz-values,colour-set-sizes,sigma-diag-dist,symmetry-anorm,ellipse-ax,ellipse-ay,ellipse-cx,normF,normInf,lee95-bound,lambda-max-by-real-part-re,nnzdia,trace-asquared, solver,solver_name,pc_name, class
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,80361466,bcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,80361467,bcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,80361465,bcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,36564233,bicg,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,36564232,bicg,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,75830644,ibcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,13323659,bicg,bjacobi ,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,75830646,ibcgs,asm,good
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,38678404,bicg,ilu,bad
?,221,6,?,?,69,90,?,6,-12.0985,?,1193,202050.2,97.77401,2264,-12.08355,?,204,202500,181420.7,221,1374,?,30.19622,-202764.6,?,?,101515.6,563279.2,563271,?,-12.0985,5.980963,10266.71,?,2264,340,204,0.1204819,-10266.71,2,-1,7.988063,340,?,?,19,0.3931095,44.96413,38934.42,731,177,202500.2,?,38.13091,83,?,10944.09,101252,80.09648,432.9596,-52.20929,796591.3,202764.6,796585.2,-0.156,340,-9191391,29553943,bcgs,ilu,good
